tensor(-2031.3398, device='cuda:0')
tensor(-2022.6382, device='cuda:0')
tensor(-1968.2334, device='cuda:0')
tensor(-2009.1436, device='cuda:0')
tensor(-2057.4541, device='cuda:0')
tensor(-2055.0044, device='cuda:0')
tensor(-2021.8323, device='cuda:0')
tensor(-2010.0383, device='cuda:0')
tensor(-2121.1677, device='cuda:0')
tensor(-1925.9991, device='cuda:0')
tensor(-1917.6451, device='cuda:0')
tensor(-1903.2642, device='cuda:0')
tensor(-2139.8589, device='cuda:0')
tensor(-1997.2803, device='cuda:0')
tensor(-1916.6622, device='cuda:0')
tensor(-1991.5117, device='cuda:0')
tensor(-1967.3535, device='cuda:0')
tensor(-2048.2104, device='cuda:0')
tensor(-2038.0946, device='cuda:0')
tensor(-2004.1420, device='cuda:0')
tensor(-1974.4973, device='cuda:0')
tensor(-2141.0322, device='cuda:0')
tensor(-2073.8789, device='cuda:0')
tensor(-1967.2478, device='cuda:0')
tensor(-2120.3735, device='cuda:0')
tensor(-2067.6658, device='cuda:0')
tensor(-2054.7061, device='cuda:0')
tensor(-1971.3514, device='cuda:0')
tensor(-1945.3464, device='cuda:0')
tensor(-2044.9542, device='cuda:0')
tensor(-1925.8132, device='cuda:0')
tensor(-1997.3113, device='cuda:0')
tensor(-2008.6158, device='cuda:0')
tensor(-2073.3655, device='cuda:0')
tensor(-1867.9875, device='cuda:0')
tensor(-2050.3838, device='cuda:0')
tensor(-2023.2156, device='cuda:0')
tensor(-1981.7504, device='cuda:0')
tensor(-1894.1375, device='cuda:0')
tensor(-2021.0972, device='cuda:0')
tensor(-1997.5974, device='cuda:0')
tensor(-2052.3813, device='cuda:0')
tensor(-1971.7185, device='cuda:0')
tensor(-1972.0612, device='cuda:0')
tensor(-2113.0720, device='cuda:0')
tensor(-2059.0513, device='cuda:0')
tensor(-2094.1592, device='cuda:0')
tensor(-1986.4669, device='cuda:0')
tensor(-1871.0950, device='cuda:0')
tensor(-2036.2581, device='cuda:0')
tensor(-2022.8860, device='cuda:0')
tensor(-2040.8936, device='cuda:0')
tensor(-1922.1450, device='cuda:0')
tensor(-2037.9973, device='cuda:0')
tensor(-2053.3564, device='cuda:0')
tensor(-2009.7955, device='cuda:0')
tensor(-2050.3809, device='cuda:0')
tensor(-1992.6082, device='cuda:0')
tensor(-1963.3103, device='cuda:0')
tensor(-2022.5129, device='cuda:0')
tensor(-2089.2639, device='cuda:0')
tensor(-2043.8387, device='cuda:0')
tensor(-2108.1138, device='cuda:0')
tensor(-2071.4487, device='cuda:0')
tensor(-1981.6697, device='cuda:0')
tensor(-1978.0243, device='cuda:0')
tensor(-1984.6382, device='cuda:0')
tensor(-2079.9678, device='cuda:0')
tensor(-1959.8309, device='cuda:0')
tensor(-1942.7920, device='cuda:0')
tensor(-1929.4541, device='cuda:0')
tensor(-2038.0161, device='cuda:0')
tensor(-2057.3376, device='cuda:0')
tensor(-1990.3450, device='cuda:0')
tensor(-2055.2197, device='cuda:0')
tensor(-1994.9855, device='cuda:0')
tensor(-2064.3569, device='cuda:0')
tensor(-2064.2988, device='cuda:0')
tensor(-1964.2749, device='cuda:0')
tensor(-2045.7003, device='cuda:0')
tensor(-2007.5765, device='cuda:0')
tensor(-2065.2800, device='cuda:0')
tensor(-1978.3378, device='cuda:0')
tensor(-2029.0488, device='cuda:0')
tensor(-2097.1943, device='cuda:0')
tensor(-1968.8779, device='cuda:0')
tensor(-2039.6674, device='cuda:0')
tensor(-2041.0551, device='cuda:0')
tensor(-2096.5818, device='cuda:0')
tensor(-2226.3438, device='cuda:0')
tensor(-2081.9641, device='cuda:0')
tensor(-2047.8542, device='cuda:0')
tensor(-2066.2876, device='cuda:0')
tensor(-1981.1086, device='cuda:0')
tensor(-2021.6682, device='cuda:0')
tensor(-2060.8325, device='cuda:0')
tensor(-1922.9698, device='cuda:0')
tensor(-2105.6353, device='cuda:0')
tensor(-2076.7979, device='cuda:0')
tensor(-2069.0549, device='cuda:0')
